Length of the dictionary: 263
Word           Count      
_____________________
the            64 
in             17 
of             15 
and            13 
gettysburg     10 
to             9  
address        9  
a              9  
speech         8  
puzzle         8  
with           7  
is             7  
copy           7  
lincoln        6  
for            6  
each           6  
president      5  
on             5  
lincoln’s      5  
copies         5  
students       4  
everett        4  
dedication     4  
at             4  
words          3  
were           3  
two            3  
their          3  
soldiers       3  
newspapers     3  
five           3  
extension      3  
ceremony       3  
cemetery       3  
be             3  
after          3  
1863           3  
               3  
written        2  
white          2  
was            2  
union          2  
took           2  
throughout     2  
there          2  
than           2  
teams          2  
team           2  
speeches       2  
pennsylvania   2  
note           2  
most           2  
more           2  
library        2  
into           2  
have           2  
governor       2  
from           2  
edward         2  
do             2  
different      2  
curtin         2  
class          2  
by             2  
bliss          2  
battle         2  
assembling     2  
as             2  
are            2  
abraham        2  
3,500          2  
3              2  
“under         1  
your           1  
writing        1  
write          1  
work           1  
winner         1  
while          1  
what           1  
war            1  
vision         1  
versions       1  
version        1  
using          1  
uses           1  
unmarked       1  
university     1  
today          1  
time           1  
three          1  
thought        1  
this           1  
that           1  
text           1  
teachlincoln   1  
task           1  
sure           1  
strategy       1  
statesman      1  
stage          1  
spoke          1  
split          1  
special        1  
speaker        1  
south          1  
social         1  
slightly       1  
six-month      1  
should         1  
share          1  
shallow        1  
select         1  
safely         1  
rules          1  
results        1  
response       1  
resides        1  
request        1  
republicans    1  
reprinted      1  
relevance      1  
references     1  
reburying      1  
read           1  
reaction       1  
quickly        1  
punctuation    1  
provided       1  
provide        1  
process        1  
procedure      1  
printed        1  
print          1  
presidential   1  
praising       1  
possible       1  
popular        1  
place          1  
phrases        1  
phrase         1  
petitioned     1  
perspective    1  
person’s       1  
person         1  
party          1  
paragraph      1  
owned          1  
own            1  
out            1  
orator         1  
only           1  
one            1  
october        1  
november       1  
noticeable     1  
north          1  
nicolay        1  
new            1  
national       1  
museum         1  
mixed          1  
minutes        1  
message        1  
memorable      1  
media          1  
may            1  
massachusetts  1  
main           1  
located        1  
local          1  
living         1  
lines          1  
lasting        1  
killed         1  
just           1  
july           1  
it             1  
individual     1  
independence   1  
inclusion      1  
included       1  
ideas          1  
how            1  
house          1  
hours          1  
history        1  
held           1  
hay            1  
hashtag        1  
hand           1  
greater        1  
graves         1  
god”           1  
given          1  
funding        1  
freedom        1  
formatted      1  
final          1  
fastest        1  
fast           1  
everett’s      1  
era            1  
ended          1  
during         1  
down           1  
document       1  
disliking      1  
differences    1  
difference     1  
determine      1  
democrats      1  
delivered      1  
deliver        1  
declaration    1  
day            1  
cut            1  
create         1  
country        1  
count          1  
correctly      1  
cornell        1  
congress       1  
compare        1  
color          1  
civil          1  
citizens       1  
chosen         1  
changes        1  
changed        1  
challenge      1  
capitalization 1  
but            1  
bury           1  
buried         1  
build          1  
brief          1  
break          1  
bodies         1  
black          1  
between        1  
began          1  
before         1  
bedroom        1  
battlefield    1  
bancroft       1  
attacked       1  
assign         1  
assembly       1  
approved       1  
andrew         1  
an             1  
american       1  
alter          1  
alplm          1  
6              1  
3-day          1  
272-word       1  
272            1  
2              1  
19             1  
10             1  
1              1  
